 (Half Day),(Demi-Journée),
 - Net,- Net,
 Address,Adresse,
 Amount,Montant,
 Apply Coupon Code,Utiliser le code promotionnel,
 Currently no stock available in any warehouse,"Actuellement, aucun stock disponible dans aucun entrepôt",
 Enter Coupon Code,Entrez un code promotionnel,
 Is Child Table,Est une table enfant,
 Name,Nom,
 Purchase Value,Valeur d'achat,
 Rate,Prix unitaire,
 Summary,Récapitulatif,
 To Discuss : {0},Sujets à aborder: {0},
 days.,jours.,
 or ,ou,
 performing either one below:,effectuer l'une des actions suivantes,
" {0} Retain Sample is based on batch, please check Has Batch No to retain sample of item","La conservation d'un échantillon de {0} dépend du lot. Veuillez sélectionner ""A un Numéro de Lot"" pour conserver un échantillon de l'article",
"""Customer Provided Item"" cannot be Purchase Item also",Un 'article fourni par le client' ne peut être également un article d'achat,
"""Customer Provided Item"" cannot have Valuation Rate",Un 'article fourni par le client' ne peut pas avoir de taux de valorisation,
"""From Date"" can not be greater than or equal to ""To Date""","De la date ne peut pas être supérieur ou égal à ""A la date"".",
"""From date"" can not be greater than or equal to ""To date""",La date de début ne peut pas être plus grande que la date de fin,
"""Is Fixed Asset"" cannot be unchecked, as Asset record exists against the item",'Est un Actif Immobilisé' doit être coché car il existe une entrée d'Actif pour cet article,
# In Stock,# En stock,
# Req'd Items,# Nombre d'articles requis,
%  Delivered,% Livré,
% Amount Billed,% facturé,
% Billed,% Facturé,
% Complete Method,Méthode de calcul de l'avancement,
% Completed,% terminés,
% Finished Item Quantity,Quantité d'articles finis (%),
% Installed,% Installé,
% Occupied,% d'occupation,
% Of Applicant Portfolio,% du portefeuille du postulant,
% Of Grand Total,% du total général,
% Of Total Portfolio,% du total du portefeuille,
% Ordered,% Commandé,
% Picked,% prélevé,
% Process Loss,% de perte du processus,
% Progress,% de Progression,
% Received,% Reçu,
% Returned,% de retour,
% Utilization (B + NB) / T,% Utilisation (F + NF) / T,
% Utilization (B / T),% Utilisation (F / T),
% of materials billed against this Sales Order,% de matériaux facturés pour cette Commande Client,
% of materials delivered against this Delivery Note,% de matériaux livrés pour ce Bon de livraison,
% of materials delivered against this Sales Order,% de matériaux livrés pour cette Commande Client,
'Account' in the Accounting section of Customer {0},'Compte' dans la section comptabilité du client {0},
'Actual Start Date' can not be greater than 'Actual End Date',"""Date de Début Réelle"" ne peut être postérieure à ""Date de Fin Réelle""",
'Based On' and 'Group By' can not be same,'Basé sur' et 'Groupé par' ne peuvent pas être identiques,
'Date' is required,La 'date' est obligatoire,
'Days Since Last Order' must be greater than or equal to zero,'Jours Depuis La Dernière Commande' doit être supérieur ou égal à zéro,
'Default {0} Account' in Company {1},'Compte {0} par défaut' dans la société {1},
'Entries' cannot be empty,'Entrées' ne peuvent pas être vides,
'Expected Start Date' can not be greater than 'Expected End Date','Date de Début Prévue' ne peut pas être postérieure à 'Date de Fin Prévue',
'From Date' is required,'Date début' est requise,
'From Date' must be after 'To Date',La ‘Date de Début' doit être antérieure à la ‘Date de Fin',
'Has Serial No' can not be 'Yes' for non-stock item,'A un Numéro de Série' ne peut pas être 'Oui' pour un article hors-stock,
'Opening','Ouverture',
'To Case No.' cannot be less than 'From Case No.','Au Cas N°' ne peut pas être inférieur à ‘Du Cas N°',
'To Date' is required,'Date de Fin' est requise,
